size, algorithm, time
20,Bubble Sort,0
20,Merge Sort,1
20,Quick Sort,1
20,STL Sort,0
40,Bubble Sort,0
40,Merge Sort,4
40,Quick Sort,3
40,STL Sort,1
60,Bubble Sort,0
60,Merge Sort,9
60,Quick Sort,48
60,STL Sort,2
80,Bubble Sort,0
80,Merge Sort,16
80,Quick Sort,53
80,STL Sort,4
100,Bubble Sort,0
100,Merge Sort,27
100,Quick Sort,59
100,STL Sort,8
120,Bubble Sort,0
120,Merge Sort,38
120,Quick Sort,68
120,STL Sort,11
140,Bubble Sort,0
140,Merge Sort,53
140,Quick Sort,77
140,STL Sort,15
160,Bubble Sort,0
160,Merge Sort,68
160,Quick Sort,88
160,STL Sort,21
180,Bubble Sort,0
180,Merge Sort,84
180,Quick Sort,100
180,STL Sort,27
200,Bubble Sort,0
200,Merge Sort,94
200,Quick Sort,107
200,STL Sort,30
220,Bubble Sort,0
220,Merge Sort,104
220,Quick Sort,116
220,STL Sort,34
240,Bubble Sort,0
240,Merge Sort,117
240,Quick Sort,125
240,STL Sort,38
260,Bubble Sort,0
260,Merge Sort,135
260,Quick Sort,135
260,STL Sort,43
280,Bubble Sort,0
280,Merge Sort,150
280,Quick Sort,146
280,STL Sort,48
300,Bubble Sort,0
300,Merge Sort,168
300,Quick Sort,158
300,STL Sort,54
320,Bubble Sort,0
320,Merge Sort,185
320,Quick Sort,171
320,STL Sort,61
340,Bubble Sort,0
340,Merge Sort,203
340,Quick Sort,185
340,STL Sort,68
360,Bubble Sort,0
360,Merge Sort,224
360,Quick Sort,200
360,STL Sort,76
380,Bubble Sort,0
380,Merge Sort,244
380,Quick Sort,215
380,STL Sort,85
400,Bubble Sort,0
400,Merge Sort,265
400,Quick Sort,230
400,STL Sort,93
420,Bubble Sort,0
420,Merge Sort,287
420,Quick Sort,247
420,STL Sort,101
440,Bubble Sort,0
440,Merge Sort,310
440,Quick Sort,265
440,STL Sort,111
460,Bubble Sort,0
460,Merge Sort,335
460,Quick Sort,283
460,STL Sort,121
480,Bubble Sort,0
480,Merge Sort,362
480,Quick Sort,304
480,STL Sort,141
500,Bubble Sort,0
500,Merge Sort,391
500,Quick Sort,344
500,STL Sort,152
520,Bubble Sort,0
520,Merge Sort,419
520,Quick Sort,366
520,STL Sort,162
540,Bubble Sort,0
540,Merge Sort,449
540,Quick Sort,388
540,STL Sort,173
560,Bubble Sort,0
560,Merge Sort,480
560,Quick Sort,411
560,STL Sort,184
580,Bubble Sort,0
580,Merge Sort,511
580,Quick Sort,435
580,STL Sort,195
600,Bubble Sort,1
600,Merge Sort,545
600,Quick Sort,466
600,STL Sort,209
620,Bubble Sort,2
620,Merge Sort,588
620,Quick Sort,493
620,STL Sort,223
640,Bubble Sort,3
640,Merge Sort,624
640,Quick Sort,520
640,STL Sort,238
660,Bubble Sort,4
660,Merge Sort,662
660,Quick Sort,548
660,STL Sort,254
680,Bubble Sort,5
680,Merge Sort,699
680,Quick Sort,576
680,STL Sort,271
700,Bubble Sort,6
700,Merge Sort,740
700,Quick Sort,606
700,STL Sort,289
720,Bubble Sort,7
720,Merge Sort,783
720,Quick Sort,638
720,STL Sort,305
740,Bubble Sort,8
740,Merge Sort,826
740,Quick Sort,670
740,STL Sort,322
760,Bubble Sort,9
760,Merge Sort,869
760,Quick Sort,704
760,STL Sort,341
780,Bubble Sort,10
780,Merge Sort,916
780,Quick Sort,738
780,STL Sort,359
800,Bubble Sort,11
800,Merge Sort,961
800,Quick Sort,774
800,STL Sort,379
820,Bubble Sort,12
820,Merge Sort,1018
820,Quick Sort,811
820,STL Sort,400
840,Bubble Sort,13
840,Merge Sort,1067
840,Quick Sort,848
840,STL Sort,421
860,Bubble Sort,14
860,Merge Sort,1122
860,Quick Sort,887
860,STL Sort,441
880,Bubble Sort,15
880,Merge Sort,1172
880,Quick Sort,925
880,STL Sort,462
900,Bubble Sort,16
900,Merge Sort,1223
900,Quick Sort,965
900,STL Sort,483
920,Bubble Sort,17
920,Merge Sort,1278
920,Quick Sort,1006
920,STL Sort,505
940,Bubble Sort,18
940,Merge Sort,1332
940,Quick Sort,1047
940,STL Sort,527
960,Bubble Sort,19
960,Merge Sort,1388
960,Quick Sort,1090
960,STL Sort,549
980,Bubble Sort,20
980,Merge Sort,1446
980,Quick Sort,1135
980,STL Sort,572
1000,Bubble Sort,21
1000,Merge Sort,1503
1000,Quick Sort,1180
1000,STL Sort,595
