size, algorithm, time
20,Bubble Sort,0
20,Merge Sort,2
20,Quick Sort,1
20,STL Sort,0
40,Bubble Sort,5
40,Merge Sort,7
40,Quick Sort,4
40,STL Sort,3
60,Bubble Sort,16
60,Merge Sort,13
60,Quick Sort,9
60,STL Sort,6
80,Bubble Sort,33
80,Merge Sort,21
80,Quick Sort,16
80,STL Sort,9
100,Bubble Sort,61
100,Merge Sort,31
100,Quick Sort,25
100,STL Sort,14
120,Bubble Sort,100
120,Merge Sort,43
120,Quick Sort,36
120,STL Sort,20
140,Bubble Sort,150
140,Merge Sort,59
140,Quick Sort,49
140,STL Sort,29
160,Bubble Sort,218
160,Merge Sort,77
160,Quick Sort,65
160,STL Sort,38
180,Bubble Sort,308
180,Merge Sort,100
180,Quick Sort,148
180,STL Sort,51
200,Bubble Sort,406
200,Merge Sort,123
200,Quick Sort,166
200,STL Sort,63
220,Bubble Sort,549
220,Merge Sort,156
220,Quick Sort,187
220,STL Sort,81
240,Bubble Sort,631
240,Merge Sort,173
240,Quick Sort,200
240,STL Sort,89
260,Bubble Sort,738
260,Merge Sort,190
260,Quick Sort,214
260,STL Sort,99
280,Bubble Sort,835
280,Merge Sort,207
280,Quick Sort,229
280,STL Sort,110
300,Bubble Sort,945
300,Merge Sort,225
300,Quick Sort,244
300,STL Sort,121
320,Bubble Sort,1080
320,Merge Sort,246
320,Quick Sort,261
320,STL Sort,133
340,Bubble Sort,1222
340,Merge Sort,268
340,Quick Sort,279
340,STL Sort,146
360,Bubble Sort,1400
360,Merge Sort,296
360,Quick Sort,300
360,STL Sort,164
380,Bubble Sort,1610
380,Merge Sort,325
380,Quick Sort,323
380,STL Sort,182
400,Bubble Sort,1808
400,Merge Sort,352
400,Quick Sort,345
400,STL Sort,200
420,Bubble Sort,2034
420,Merge Sort,380
420,Quick Sort,368
420,STL Sort,219
440,Bubble Sort,2280
440,Merge Sort,409
440,Quick Sort,393
440,STL Sort,239
460,Bubble Sort,2554
460,Merge Sort,441
460,Quick Sort,421
460,STL Sort,262
480,Bubble Sort,2845
480,Merge Sort,474
480,Quick Sort,448
480,STL Sort,284
500,Bubble Sort,3186
500,Merge Sort,509
500,Quick Sort,477
500,STL Sort,309
520,Bubble Sort,3520
520,Merge Sort,546
520,Quick Sort,507
520,STL Sort,334
540,Bubble Sort,3897
540,Merge Sort,583
540,Quick Sort,540
540,STL Sort,361
560,Bubble Sort,4313
560,Merge Sort,625
560,Quick Sort,576
560,STL Sort,392
580,Bubble Sort,4749
580,Merge Sort,667
580,Quick Sort,610
580,STL Sort,424
600,Bubble Sort,5207
600,Merge Sort,712
600,Quick Sort,646
600,STL Sort,459
620,Bubble Sort,5696
620,Merge Sort,757
620,Quick Sort,683
620,STL Sort,492
640,Bubble Sort,6212
640,Merge Sort,804
640,Quick Sort,721
640,STL Sort,527
660,Bubble Sort,6768
660,Merge Sort,853
660,Quick Sort,761
660,STL Sort,563
680,Bubble Sort,7354
680,Merge Sort,903
680,Quick Sort,801
680,STL Sort,601
700,Bubble Sort,7993
700,Merge Sort,955
700,Quick Sort,844
700,STL Sort,640
720,Bubble Sort,8627
720,Merge Sort,1009
720,Quick Sort,887
720,STL Sort,681
740,Bubble Sort,9328
740,Merge Sort,1065
740,Quick Sort,933
740,STL Sort,724
760,Bubble Sort,10060
760,Merge Sort,1123
760,Quick Sort,979
760,STL Sort,766
780,Bubble Sort,10863
780,Merge Sort,1186
780,Quick Sort,1029
780,STL Sort,811
800,Bubble Sort,11691
800,Merge Sort,1249
800,Quick Sort,1080
800,STL Sort,858
820,Bubble Sort,12520
820,Merge Sort,1312
820,Quick Sort,1129
820,STL Sort,905
840,Bubble Sort,13394
840,Merge Sort,1378
840,Quick Sort,1189
840,STL Sort,954
860,Bubble Sort,14333
860,Merge Sort,1446
860,Quick Sort,1244
860,STL Sort,1005
880,Bubble Sort,15352
880,Merge Sort,1518
880,Quick Sort,1298
880,STL Sort,1060
900,Bubble Sort,16380
900,Merge Sort,1589
900,Quick Sort,1355
900,STL Sort,1112
920,Bubble Sort,17439
920,Merge Sort,1660
920,Quick Sort,1412
920,STL Sort,1166
940,Bubble Sort,18543
940,Merge Sort,1735
940,Quick Sort,1471
940,STL Sort,1222
960,Bubble Sort,19676
960,Merge Sort,1811
960,Quick Sort,1530
960,STL Sort,1277
980,Bubble Sort,20884
980,Merge Sort,1888
980,Quick Sort,1594
980,STL Sort,1336
1000,Bubble Sort,22158
1000,Merge Sort,1968
1000,Quick Sort,1658
1000,STL Sort,1395
