size, algorithm, time
20,Bubble Sort,0
20,Merge Sort,0
20,Quick Sort,0
20,STL Sort,0
40,Bubble Sort,2
40,Merge Sort,1
40,Quick Sort,1
40,STL Sort,0
60,Bubble Sort,7
60,Merge Sort,3
60,Quick Sort,3
60,STL Sort,1
80,Bubble Sort,16
80,Merge Sort,7
80,Quick Sort,6
80,STL Sort,2
100,Bubble Sort,30
100,Merge Sort,12
100,Quick Sort,10
100,STL Sort,5
120,Bubble Sort,49
120,Merge Sort,19
120,Quick Sort,16
120,STL Sort,8
140,Bubble Sort,77
140,Merge Sort,27
140,Quick Sort,23
140,STL Sort,12
160,Bubble Sort,120
160,Merge Sort,36
160,Quick Sort,31
160,STL Sort,17
180,Bubble Sort,168
180,Merge Sort,47
180,Quick Sort,40
180,STL Sort,23
200,Bubble Sort,224
200,Merge Sort,59
200,Quick Sort,51
200,STL Sort,30
220,Bubble Sort,297
220,Merge Sort,73
220,Quick Sort,63
220,STL Sort,38
240,Bubble Sort,386
240,Merge Sort,91
240,Quick Sort,77
240,STL Sort,48
260,Bubble Sort,489
260,Merge Sort,108
260,Quick Sort,92
260,STL Sort,60
280,Bubble Sort,608
280,Merge Sort,129
280,Quick Sort,109
280,STL Sort,74
300,Bubble Sort,757
300,Merge Sort,154
300,Quick Sort,127
300,STL Sort,89
320,Bubble Sort,921
320,Merge Sort,180
320,Quick Sort,156
320,STL Sort,106
340,Bubble Sort,1102
340,Merge Sort,208
340,Quick Sort,177
340,STL Sort,126
360,Bubble Sort,1303
360,Merge Sort,238
360,Quick Sort,206
360,STL Sort,146
380,Bubble Sort,1539
380,Merge Sort,268
380,Quick Sort,230
380,STL Sort,168
400,Bubble Sort,1786
400,Merge Sort,302
400,Quick Sort,257
400,STL Sort,191
420,Bubble Sort,2066
420,Merge Sort,338
420,Quick Sort,283
420,STL Sort,215
440,Bubble Sort,2376
440,Merge Sort,376
440,Quick Sort,334
440,STL Sort,241
460,Bubble Sort,2755
460,Merge Sort,417
460,Quick Sort,365
460,STL Sort,278
480,Bubble Sort,3110
480,Merge Sort,460
480,Quick Sort,399
480,STL Sort,307
500,Bubble Sort,3494
500,Merge Sort,503
500,Quick Sort,432
500,STL Sort,337
520,Bubble Sort,3920
520,Merge Sort,550
520,Quick Sort,466
520,STL Sort,369
540,Bubble Sort,4380
540,Merge Sort,597
540,Quick Sort,502
540,STL Sort,402
560,Bubble Sort,4861
560,Merge Sort,650
560,Quick Sort,539
560,STL Sort,437
580,Bubble Sort,5376
580,Merge Sort,703
580,Quick Sort,579
580,STL Sort,473
600,Bubble Sort,5922
600,Merge Sort,758
600,Quick Sort,620
600,STL Sort,513
620,Bubble Sort,6507
620,Merge Sort,814
620,Quick Sort,661
620,STL Sort,552
640,Bubble Sort,7145
640,Merge Sort,873
640,Quick Sort,705
640,STL Sort,593
660,Bubble Sort,7808
660,Merge Sort,936
660,Quick Sort,750
660,STL Sort,638
680,Bubble Sort,8560
680,Merge Sort,1001
680,Quick Sort,797
680,STL Sort,682
700,Bubble Sort,9318
700,Merge Sort,1068
700,Quick Sort,847
700,STL Sort,728
720,Bubble Sort,10188
720,Merge Sort,1140
720,Quick Sort,897
720,STL Sort,778
740,Bubble Sort,11085
740,Merge Sort,1217
740,Quick Sort,958
740,STL Sort,827
760,Bubble Sort,11979
760,Merge Sort,1292
760,Quick Sort,1013
760,STL Sort,877
780,Bubble Sort,13168
780,Merge Sort,1407
780,Quick Sort,1086
780,STL Sort,945
800,Bubble Sort,14197
800,Merge Sort,1488
800,Quick Sort,1145
800,STL Sort,1001
820,Bubble Sort,15205
820,Merge Sort,1575
820,Quick Sort,1209
820,STL Sort,1057
840,Bubble Sort,16259
840,Merge Sort,1660
840,Quick Sort,1270
840,STL Sort,1113
860,Bubble Sort,17353
860,Merge Sort,1750
860,Quick Sort,1334
860,STL Sort,1170
880,Bubble Sort,18524
880,Merge Sort,1841
880,Quick Sort,1397
880,STL Sort,1233
900,Bubble Sort,20371
900,Merge Sort,1985
900,Quick Sort,1503
900,STL Sort,1337
920,Bubble Sort,21695
920,Merge Sort,2079
920,Quick Sort,1570
920,STL Sort,1406
940,Bubble Sort,23009
940,Merge Sort,2181
940,Quick Sort,1640
940,STL Sort,1471
960,Bubble Sort,24369
960,Merge Sort,2276
960,Quick Sort,1711
960,STL Sort,1537
980,Bubble Sort,25804
980,Merge Sort,2378
980,Quick Sort,1783
980,STL Sort,1605
1000,Bubble Sort,27290
1000,Merge Sort,2484
1000,Quick Sort,1859
1000,STL Sort,1676
