rows_a,cols_a,rows_b,cols_b,algorithm,time
2,2,2,2,Strassen Multiplication,13
2,2,2,2,Standart Multiplication,0
2,2,2,2,Transposed Multiplication,1
4,4,4,4,Strassen Multiplication,60
4,4,4,4,Standart Multiplication,2
4,4,4,4,Transposed Multiplication,14
8,8,8,8,Strassen Multiplication,259
8,8,8,8,Standart Multiplication,16
8,8,8,8,Transposed Multiplication,21
16,16,16,16,Strassen Multiplication,1394
16,16,16,16,Standart Multiplication,51
16,16,16,16,Transposed Multiplication,60
32,32,32,32,Strassen Multiplication,7363
32,32,32,32,Standart Multiplication,300
32,32,32,32,Transposed Multiplication,326
64,64,64,64,Strassen Multiplication,42468
64,64,64,64,Standart Multiplication,2358
64,64,64,64,Transposed Multiplication,2487
128,128,128,128,Strassen Multiplication,253952
128,128,128,128,Standart Multiplication,20155
128,128,128,128,Transposed Multiplication,19826
256,256,256,256,Strassen Multiplication,1550485
256,256,256,256,Standart Multiplication,162712
256,256,256,256,Transposed Multiplication,163106
512,512,512,512,Strassen Multiplication,9669690
512,512,512,512,Standart Multiplication,1382084
512,512,512,512,Transposed Multiplication,1322621
