rows_a,cols_a,rows_b,cols_b,algorithm,time
10,10,10,10,Strassen Multiplication,0
10,10,10,10,Standart Multiplication,9
10,10,10,10,Transposed Multiplication,10
100,100,100,100,Strassen Multiplication,0
100,100,100,100,Standart Multiplication,7136
100,100,100,100,Transposed Multiplication,7837
200,200,200,200,Strassen Multiplication,0
200,200,200,200,Standart Multiplication,64327
200,200,200,200,Transposed Multiplication,74161
300,300,300,300,Strassen Multiplication,0
300,300,300,300,Standart Multiplication,270996
300,300,300,300,Transposed Multiplication,296946
400,400,400,400,Strassen Multiplication,0
400,400,400,400,Standart Multiplication,790606
400,400,400,400,Transposed Multiplication,828194
500,500,500,500,Strassen Multiplication,0
500,500,500,500,Standart Multiplication,1814124
500,500,500,500,Transposed Multiplication,1860258
600,600,600,600,Strassen Multiplication,0
600,600,600,600,Standart Multiplication,3649736
600,600,600,600,Transposed Multiplication,3655687
700,700,700,700,Strassen Multiplication,0
700,700,700,700,Standart Multiplication,6546978
700,700,700,700,Transposed Multiplication,6518783
800,800,800,800,Strassen Multiplication,0
800,800,800,800,Standart Multiplication,11036778
800,800,800,800,Transposed Multiplication,10747778
900,900,900,900,Strassen Multiplication,0
900,900,900,900,Standart Multiplication,17390004
900,900,900,900,Transposed Multiplication,16727757
1000,1000,1000,1000,Strassen Multiplication,0
1000,1000,1000,1000,Standart Multiplication,26207123
1000,1000,1000,1000,Transposed Multiplication,24946302
